result_1,1.247,-0.022,-0.124,-0.339,0.011,0.381,-0.067,-0.189,-0.050,0.060,0.093,0.488,-0.258,0.022,0.755,0.014,0.106,0.023,-0.787,0.034,0.033,-0.258,0.089,-0.001,0.109,-0.026,0.133,0.332,0.336,0.941,-0.383,0.339,0.011,0.016,-0.232,-0.003,0.045,0.713,0.006,-0.014,0.049,-0.150,-0.021,0.015,-0.336,
result_2,1.062,0.345,-0.091,-0.472,0.242,0.236,-0.216,-0.513,-0.019,-0.005,0.039,0.766,-0.077,0.052,0.018,0.808,0.115,-0.127,-0.080,0.110,0.308,-0.074,0.001,0.000,0.020,0.063,0.759,0.005,0.044,0.975,-0.193,0.523,0.294,-0.046,-0.076,0.366,-0.006,0.075,-0.003,0.096,0.263,-0.973,0.030,-0.007,-0.080,
result_3,1.301,0.667,-0.608,-0.360,-0.000,0.212,-0.020,-0.294,-0.019,0.456,0.020,0.488,-0.702,0.149,0.398,0.219,1.029,0.001,-0.512,0.799,0.217,-0.044,-0.137,0.303,0.107,0.004,0.328,0.138,0.011,0.048,-0.272,0.497,0.000,0.006,-0.229,0.033,-0.000,0.162,-0.000,0.012,-0.001,-0.041,0.145,-0.000,-0.355,
result_4,1.299,0.067,-0.743,-0.347,-0.005,0.110,0.045,-0.417,-0.009,-0.045,-0.062,0.772,-0.627,0.207,0.099,0.097,0.536,0.121,-0.312,0.007,0.004,-0.389,0.151,0.145,0.565,0.218,0.464,-0.043,0.011,1.253,-0.218,0.416,-0.050,0.215,-0.197,0.055,0.242,0.198,0.273,0.032,-0.031,-0.189,0.161,0.254,-0.209,
result_5,0.911,0.030,-0.525,-0.187,0.235,-0.017,0.000,-0.379,0.001,-0.010,0.000,0.522,-0.109,0.789,0.002,0.067,-0.001,0.283,-0.136,-0.012,0.800,-0.844,0.000,0.171,0.676,0.464,1.166,0.000,0.001,-0.001,-0.693,0.128,0.055,0.067,-0.020,0.136,0.195,0.908,0.205,0.006,-0.017,-0.367,0.003,0.227,-0.084,
result_6,1.321,0.438,-0.255,-0.209,0.022,0.001,0.140,-0.314,-0.048,0.400,-0.097,0.399,-0.005,0.507,0.390,0.490,0.012,0.258,-0.782,0.579,0.006,-0.013,-0.048,0.043,0.072,0.621,0.617,0.129,0.011,0.865,-0.088,0.243,0.020,0.152,-0.943,0.239,0.055,0.700,0.016,0.196,0.060,-0.008,-0.202,0.131,-0.294,
result_7,0.795,0.007,-0.796,-0.308,-0.004,0.006,-0.006,-0.300,-0.001,-0.078,-0.001,0.612,-0.168,0.618,0.014,0.027,0.009,0.202,-0.552,0.373,0.387,-0.032,-0.005,0.177,0.769,0.017,0.483,-0.000,0.007,1.183,-0.621,1.143,-0.048,0.244,-0.161,0.101,0.122,0.011,-0.038,0.002,-0.048,-0.159,-0.000,0.436,-0.477,
