,p.1-1,p.1-2,p.1-3,p.1-4,p.1-5,p.1-6,p.1-7,p.1-8,p.1-9,p.1-10,p.1-11,p.1-12,p.1-13,p.1-14,p.1-15,p.1-16,p.1-17,sa002,sa004,sa005,sa008,sa009,sa014,sa015,sacov-21934,sacov-22072,sacov-22078,sacov-22101,sacov-22104,sacov-22113,sacov-22160,b.1.1.7-p03,b.1.1.7-p05,b.1.1.7-p06,b.1.1.7-p07,b.1.1.7-p08,b.1.1.7-p09,b.1.1.7-p10,b.1.1.7-p11,b.1.1.7-p14,b.1.1.7-p15,b.1.1.7-p16,b.1.1.7-p17,b.1.1.7-p18,b.1.1.7-p19,b.1.1.7-p20,b.1.1.7-p22,b.1.1.7-p23,b.1.1.7-p04,convalescent-01,convalescent-02,convalescent-03,convalescent-04,convalescent-05,convalescent-06,convalescent-07,convalescent-08,convalescent-09,convalescent-10,convalescent-11,convalescent-12,convalescent-13,convalescent-14,convalescent-15,convalescent-16,convalescent-17,convalescent-18,convalescent-19,convalescent-20,convalescent-21,convalescent-22,convalescent-23,convalescent-24,convalescent-25,convalescent-26,convalescent-27,convalescent-28,convalescent-29,convalescent-30,convalescent-31,convalescent-32,convalescent-33,convalescent-34
victoria,-0.52381,-0.612225,-0.5763,-0.456576,-0.555715,-0.0483352,-0.485308,-0.555402,-0.60106,-0.65081,-0.571833,-0.532748,-0.71241,-0.452096,-0.0617459,-0.0577696,0.00541353,-0.238234,-0.17806,-0.514213,-0.375786,-0.631256,-0.52926,-0.286134,-0.340095,-0.375272,-0.174199,-0.12973,-0.246005,-0.469509,-0.206499,-0.238369,-0.0804644,-0.0705103,-0.0484589,-0.0327614,-0.0284109,-0.0665139,-0.0233936,-0.0782882,0.124009,-0.015519,-0.0840018,-0.020865,-0.0897832,0.0294912,-0.0780361,-0.0416362,0.0250465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b.1.1.7,-0.553055,-0.646406,-0.608475,-0.482066,-0.58674,-0.0510337,-0.512402,-0.58641,-0.634617,-0.687145,-0.603758,-0.562492,-0.752184,-0.477336,-0.0651931,-0.0609949,0.00571577,-0.24208,-0.180934,-0.522512,-0.381852,-0.641445,-0.537803,-0.290752,-0.345585,-0.381329,-0.177011,-0.131823,-0.249976,-0.477088,-0.209832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.243707,-0.348969,-0.128403,-0.013416,-0.264829,-0.0488823,-0.255186,-0.0938047,-0.324287,-0.287221,-0.202508,-0.2749,-0.267035,-0.273257,-0.100825,-0.215825,-0.349129,-0.25031,-0.19049,-0.0985923,-0.137501,-0.099308,-0.269347,-0.174908,-0.0840291,-0.0999247,-0.166072,-0.202383,-0.0877697,-0.111011,-0.0832646,-0.253827,-0.1784,-0.297138
b.1.351,-0.358092,-0.418535,-0.393975,-0.312128,-0.379903,-0.0330433,-0.33177,-0.379689,-0.410902,-0.444912,-0.390921,-0.364202,-0.487024,-0.309065,-0.0422113,-0.039493,0.00370084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04795,-0.353749,-0.309988,-0.213042,-0.14403,-0.124904,-0.292418,-0.102846,-0.344182,0.545185,-0.0682267,-0.369301,-0.0917296,-0.394718,0.129654,-0.343074,-0.183047,0.110113,-1.0544,-1.50982,-0.555537,-0.0580444,-1.14579,-0.21149,-1.10406,-0.405847,-1.40303,-1.24267,-0.876154,-1.18936,-1.15533,-1.18225,-0.436219,-0.933769,-1.51051,-1.08297,-0.824155,-0.426561,-0.594898,-0.429657,-1.16533,-0.756743,-0.363553,-0.432326,-0.718514,-0.875611,-0.379737,-0.480289,-0.360245,-1.09819,-0.77185,-1.28557
p.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0470842,-0.0351915,-0.101628,-0.0742698,-0.12476,-0.104602,-0.056551,-0.0672158,-0.0741681,-0.0344285,-0.0256395,-0.0486201,-0.092793,-0.0408122,-0.314799,-0.106264,-0.0931184,-0.0639965,-0.0432658,-0.0375204,-0.0878405,-0.0308944,-0.10339,0.16377,-0.0204949,-0.110936,-0.027555,-0.118571,0.0389471,-0.103057,-0.0549862,0.0330773,-0.304829,-0.436492,-0.160607,-0.0167807,-0.331249,-0.0611421,-0.319187,-0.117331,-0.405618,-0.359257,-0.253298,-0.343845,-0.334008,-0.34179,-0.126112,-0.269954,-0.436692,-0.313089,-0.238265,-0.12332,-0.171986,-0.124215,-0.3369,-0.218776,-0.105104,-0.124986,-0.207724,-0.253141,-0.109783,-0.138852,-0.104148,-0.317487,-0.223143,-0.371661
b.1.617.1-pv,-0.407565,-0.476358,-0.448405,-0.355251,-0.432389,-0.0376085,-0.377607,-0.432146,-0.467671,-0.50638,-0.44493,-0.414519,-0.55431,-0.351765,-0.048043,-0.0449492,0.00421214,-0.22295,-0.166636,-0.481222,-0.351677,-0.590756,-0.495304,-0.267776,-0.318275,-0.351195,-0.163023,-0.121406,-0.230222,-0.439386,-0.193251,-0.172202,-0.0581289,-0.0509379,-0.0350076,-0.0236674,-0.0205245,-0.0480508,-0.0168999,-0.0565568,0.089586,-0.0112112,-0.0606844,-0.0150732,-0.064861,0.021305,-0.0563746,-0.0300787,0.0180941,-0.126965,-0.181803,-0.0668944,-0.00698936,-0.137969,-0.0254664,-0.132945,-0.0488697,-0.168944,-0.149635,-0.105501,-0.143215,-0.139118,-0.142359,-0.0525268,-0.112439,-0.181887,-0.130405,-0.0992398,-0.0513639,-0.0716341,-0.0517367,-0.140322,-0.0911224,-0.0437769,-0.0520581,-0.0865192,-0.105436,-0.0457256,-0.0578335,-0.0433786,-0.132237,-0.0929415,-0.154801
b.1.617.2,-0.982898,-1.1488,-1.08139,-0.856737,-1.04277,-0.090698,-0.910651,-1.04218,-1.12785,-1.22121,-1.07301,-0.99967,-1.33679,-0.84833,-0.115862,-0.108401,0.0101582,-0.298598,-0.223177,-0.644504,-0.471003,-0.791204,-0.663364,-0.358635,-0.426269,-0.470358,-0.218338,-0.1626,-0.308338,-0.588474,-0.258822,-0.499682,-0.168674,-0.147807,-0.101582,-0.0686761,-0.0595564,-0.13943,-0.0490388,-0.164112,0.259953,-0.0325316,-0.176089,-0.0437382,-0.188208,0.061821,-0.163583,-0.08728,0.0525038,-0.461778,-0.661229,-0.243299,-0.0254207,-0.501801,-0.0926225,-0.483528,-0.177742,-0.61446,-0.544229,-0.383714,-0.520882,-0.50598,-0.517769,-0.191043,-0.408946,-0.661532,-0.47429,-0.360941,-0.186813,-0.260537,-0.188169,-0.51036,-0.331417,-0.159219,-0.189338,-0.314675,-0.383476,-0.166307,-0.210344,-0.15777,-0.480953,-0.338034,-0.56302
